Date,AAPL,AMZN,HD,IBM,KO,MSFT,WMT,ADBE,COST,BA
20110429,76614.98569,7757.022,18888.9609,1163.183,31634.9296,57083.2776,68541.9588,5783.115562,12001.98315,3515.0076
20110531,76614.98569,7757.022,18888.9609,1163.183,31634.9296,57083.2776,68541.9588,5783.115562,12001.98315,3515.0076
20110630,76614.98569,7757.022,18888.9609,1163.183,31634.9296,57083.2776,68541.9588,5783.115562,12001.98315,3515.0076
20110729,76614.98569,7757.022,18888.9609,1163.183,31634.9296,57083.2776,68541.9588,5783.115562,12001.98315,3515.0076
20110831,76614.98569,7757.022,18888.9609,1163.183,31634.9296,57083.2776,68541.9588,5783.115562,12001.98315,3515.0076
20110930,76614.98569,7757.022,18888.9609,1163.183,31634.9296,57083.2776,68541.9588,5783.115562,12001.98315,3515.0076
20111031,76614.98569,7757.022,18888.9609,1163.183,31634.9296,57083.2776,68541.9588,5783.115562,12001.98315,3515.0076
20111130,76614.98569,7757.022,18888.9609,1163.183,31634.9296,57083.2776,68541.9588,5783.115562,12001.98315,3515.0076
20111230,76614.98569,7757.022,18888.9609,1163.183,31634.9296,57083.2776,68541.9588,5783.115562,12001.98315,3515.0076
20120131,118210.0338,8192.0214,17898.0576,1117.368,32789.9468,66363.2723,71314.861,6665.198308,12361.01621,5867.021336
20120229,118210.0338,8192.0214,17898.0576,1117.368,32789.9468,66363.2723,71314.861,6665.198308,12361.01621,5867.021336
20120330,118210.0338,8192.0214,17898.0576,1117.368,32789.9468,66363.2723,71314.861,6665.198308,12361.01621,5867.021336
20120430,118210.0338,8192.0214,17898.0576,1117.368,32789.9468,66363.2723,71314.861,6665.198308,12361.01621,5867.021336
20120531,118210.0338,8192.0214,17898.0576,1117.368,32789.9468,66363.2723,71314.861,6665.198308,12361.01621,5867.021336
20120629,118210.0338,8192.0214,17898.0576,1117.368,32789.9468,66363.2723,71314.861,6665.198308,12361.01621,5867.021336
20120731,118210.0338,8192.0214,17898.0576,1117.368,32789.9468,66363.2723,71314.861,6665.198308,12361.01621,5867.021336
20120831,118210.0338,8192.0214,17898.0576,1117.368,32789.9468,66363.2723,71314.861,6665.198308,12361.01621,5867.021336
20120928,118210.0338,8192.0214,17898.0576,1117.368,32789.9468,66363.2723,71314.861,6665.198308,12361.01621,5867.021336
20121031,118210.0338,8192.0214,17898.0576,1117.368,32789.9468,66363.2723,71314.861,6665.198308,12361.01621,5867.021336
20121130,118210.0338,8192.0214,17898.0576,1117.368,32789.9468,66363.2723,71314.861,6665.198308,12361.01621,5867.021336
20121231,118210.0338,8192.0214,17898.0576,1117.368,32789.9468,66363.2723,71314.861,6665.198308,12361.01621,5867.021336
